id_text,id_forum,text,text_corrected,type,tagger,pasien,usia_pasien,penyakit,gejala,kapan,periode,tindakan,outcome,pertanyaan,pembuka,penyebab,prakondisi,objek,penutup,referensi,artikel,observasi
1,1,"Selamat siang dokter, ibu saya sering kaget kadang juga nyeri didada jika kaget","Selamat siang dokter, ibu saya sering kaget kadang juga nyeri di dada jika kaget",q,f,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,", Apakah itu ciri-ciri terkena jantung lemah ya dok? Solusinya seperti apa ya dok? kami keluarga takut dan cemas jika ibu terkena jantung lemah dokter",Apakah itu ciri-ciri terkena jantung lemah ya dok? Solusinya seperti apa ya dok? kami keluarga takut dan cemas jika ibu terkena jantung lemah dokter,q,f,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,"Penyakit jantung terdiri dari berbagai macam seperti gagal jantung, kemudian pembuluh jantung tersumbat sehingga menyebabkan nyeri dada angina, penyakit katup jantung, pembengkakan jantung dan sebagainya","Penyakit jantung terdiri dari berbagai macam seperti gagal jantung, kemudian pembuluh jantung tersumbat sehingga menyebabkan nyeri dada angina, penyakit katup jantung, pembengkakan jantung dan sebagainya",a,f,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,"Setiap jenis penyakit jantung tersebut dapat menyebabkan keluhan berbeda seperti sesak napas, mudah lelah, nyeri dada, kaki bengkak, batuk, dan sebagainya","Setiap jenis penyakit jantung tersebut dapat menyebabkan keluhan berbeda seperti sesak napas, mudah lelah, nyeri dada, kaki bengkak, batuk, dan sebagainya",a,f,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2,Oleh karena terdapat berbagai jenis penyakit jantung maka mengeluhkan nyeri dada saja tidak bisa dipastikan apakah itu merupakan penyakit jantung atau tidak,Oleh karena terdapat berbagai jenis penyakit jantung maka mengeluhkan nyeri dada saja tidak bisa dipastikan apakah itu merupakan penyakit jantung atau tidak,a,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2,Perlu dilakukan pemeriksaan lebih lanjut,Perlu dilakukan pemeriksaan lebih lanjut,a,f,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3,"Alo Dok, Saya rutin mengkonsumsi obat-obatan dalam rangka gagal jantung","Halo Dok, Saya rutin mengkonsumsi obat-obatan dalam rangka gagal jantung",q,f,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3,"Saat ini bisoprolol, ramipril, clopidogrel, nospirinal, simvastatin, spironolactone, dan uperio","Saat ini bisoprolol, ramipril, clopidogrel, nospirinal, simvastatin, spironolactone, dan uperio",q,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,3,"Seringkali detak jantung saya adalah 50-an, bahkan kadang sampai di bawah 50","Seringkali detak jantung saya adalah 50-an, bahkan kadang sampai di bawah 50",q,f,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3,"Apakah ini terlalu rendah? Saya baca-baca, normalnya di atas 60","Apakah ini terlalu rendah? Saya baca-baca, normalnya di atas 60",q,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3,Ini sepertinya hanya terjadi saat saya duduk atau tidur,Ini sepertinya hanya terjadi saat saya duduk atau tidur,q,f,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3,"Kalau berdiri, detak jantung kembali ke 60-80","Kalau berdiri, detak jantung kembali ke 60-80",q,f,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,3,"Saya sih sepertinya tidak merasakan tanda-tanda bahaya seperti sakit dada, kebingungan, sesak, pusing, dan sejenisnya, walau agak susah juga menentukannya karena beberapa tanda tersebut dalam intensitas rendah saat ini sudah ""biasa"" saya rasakan (sejak serangan jantung & didiagnosa gagal jantung)","Saya sih sepertinya tidak merasakan tanda-tanda bahaya seperti sakit dada, kebingungan, sesak, pusing, dan sejenisnya, walau agak susah juga menentukannya karena beberapa tanda tersebut dalam intensitas rendah saat ini sudah ""biasa"" saya rasakan (sejak serangan jantung & didiagnosa gagal jantung)",q,f,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,3,"Mohon informasinya, terima kasih","Mohon informasinya, terima kasih",q,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4,"Alo Radia, Terima kasih atas pertanyaannya","Halo Radia, Terima kasih atas pertanyaannya",a,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,4,Detak jantung manusia normalnya berkisar antara 60-100 detak per menit,Detak jantung manusia normalnya berkisar antara 60-100 detak per menit,a,f,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,4,Detak jantung di bawah 60 memang tergolong detak jantung yang tidak normal atau lebih lambat,Detak jantung di bawah 60 memang tergolong detak jantung yang tidak normal atau lebih lambat,a,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,4,"Namun, dalam kondisi Anda, kemungkinan besar ini karena efek samping penggunaan obat bisoprolol","Namun, dalam kondisi Anda, kemungkinan besar ini karena efek samping penggunaan obat bisoprolol",a,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,4,"Selama Anda mengkonsumsi obat sesuai anjuran dokter, kontrol teratur ke dokter jantung, dan tidak ada keluhan seperti pusing, sakit dada, sesak napas, maka umumnya kondisi ini hanya perlu dimonitor saja","Selama Anda mengkonsumsi obat sesuai anjuran dokter, kontrol teratur ke dokter jantung, dan tidak ada keluhan seperti pusing, sakit dada, sesak napas, maka umumnya kondisi ini hanya perlu dimonitor saja",a,f,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,4,Yang membahayakan adalah apabila dengan kondisi detak jantung yang rendah ini Anda mengalami gejala lain yang disebutkan di atas,Yang membahayakan adalah apabila dengan kondisi detak jantung yang rendah ini Anda mengalami gejala lain yang disebutkan di atas,a,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,4,"Dalam kondisi tersebut, Anda dianjurkan untuk segera mengunjungi IGD rumah sakit terdekat agar dapat segera diperiksa dan diberikan penanganan yang sesuai","Dalam kondisi tersebut, Anda dianjurkan untuk segera mengunjungi IGD rumah sakit terdekat agar dapat segera diperiksa dan diberikan penanganan yang sesuai",a,f,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,4,"Untuk saat ini, silakan Anda tetap konsumsi obat sesuai dengan dosis yang dianjurkan oleh dokter dan jangan lupa kontrol teratur ke dokter jantung Anda","Untuk saat ini, silakan Anda tetap konsumsi obat sesuai dengan dosis yang dianjurkan oleh dokter dan jangan lupa kontrol teratur ke dokter jantung Anda",a,f,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,4,Hindari juga aktivitas fisik yang berlebihan,Hindari juga aktivitas fisik yang berlebihan,a,f,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,4,Semoga membantu,Semoga membantu,a,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25,5,"dok, saya mau bertanya, apa sakit yang akan dialami seseorang ketika mengidap penyakit gagal jantung? apakah dia diharuskan untuk transplantasi jantung? dan bila harus, apa syarat syarat nya dok?","dok, saya mau bertanya, apa sakit yang akan dialami seseorang ketika mengidap penyakit gagal jantung? apakah dia diharuskan untuk transplantasi jantung? dan bila harus, apa syarat syarat nya dok?",q,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,6,Terima kasih atas pertanyaannya.,Terima kasih atas pertanyaannya.,q,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,6,Gagal jantung merupakan kondisi dimana jantung mengalami gangguan dalam dalam memompa aliran darah,Gagal jantung merupakan kondisi dimana jantung mengalami gangguan dalam dalam memompa aliran darah,a,f,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,6,"Gagal jantung dapat disebabkan oleh berbagai kondisi seperti mengalamipenyakit jantung koroner, riwayat hipertensi, diabetes, kerusakan otot jantung, radang otot jantung, gangguan irama jantung, anemia dan sebagainya","Gagal jantung dapat disebabkan oleh berbagai kondisi seperti mengalami penyakit jantung koroner, riwayat hipertensi, diabetes, kerusakan otot jantung, radang otot jantung, gangguan irama jantung, anemia dan sebagainya",a,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
